#RUN,Digest Matching, Service time Digest, Service time Normal, Service time Premium, Service time Reliable,Response time Digest, Response time Normal, Response time Premium, Response time Reliable, Wait time Digest, Wait time Normal, Wait time Premium, Wait time Reliable,Interarrival time Digest, Interarrival time Normal, Interarrival time Premium, Interarrival time Reliable, Avg num of jobs Digest, Avg num of jobs Normal, Avg num of jobs Premium, Avg num of jobs Reliable, Num of timeouts Normal, Num of timeouts Premium, Num of timeouts Reliable, Global Response Time, Global Premium Response Time, Global Normal Response Time, Percentage of Failure, Rho Digest, Rho Normal, Rho Premium, Rho Reliable
36,4837,0.598196,146.701077,119.142473,76.959444,1.920488,195.121276,133.226826,411.232439,1.322292,48.420200,14.084353,334.272995,0.867055,3.034973,1.302261,91.597013,2.214956,64.290951,102.304206,4.489584,504.000000,440.000000,0.000000,150.257228,131.237707,194.628475,0.000000,0.689917,0.966737,0.963041,0.840196
37,4859,0.598667,147.812550,119.361411,73.840521,1.954846,236.975382,157.511778,480.039822,1.356179,89.162832,38.150366,406.199302,0.859179,3.021862,1.287555,88.571936,2.275249,78.420319,122.333993,5.419773,531.000000,446.000000,0.000000,179.113727,154.879611,236.008518,0.000000,0.696789,0.978288,0.975831,0.833679
38,4853,0.600243,145.936230,119.465477,74.366580,1.968599,191.058963,142.963640,386.334727,1.368356,45.122733,23.498163,311.968147,0.865850,3.028184,1.301152,88.889728,2.273604,63.093585,109.874673,4.346225,503.000000,469.000000,0.000000,155.494443,140.661740,189.942918,0.000000,0.693242,0.963853,0.966475,0.836616
39,4826,0.598536,146.743189,118.699371,74.736987,1.967252,229.734996,156.727104,420.223391,1.368716,82.991808,38.027733,345.486405,0.861290,3.012569,1.293216,90.553871,2.284076,76.258841,121.191712,4.640590,532.000000,423.000000,0.000000,176.026446,153.647294,228.208544,0.000000,0.694929,0.974206,0.966170,0.825332
40,4862,0.602748,147.028807,119.037684,76.177756,2.000472,243.161357,138.923974,463.735142,1.397724,96.132550,19.886290,387.557386,0.863540,3.032113,1.295395,89.272158,2.316594,80.195342,107.244527,5.194622,497.000000,471.000000,0.000000,168.345511,137.443107,240.407215,0.000000,0.697996,0.969811,0.967295,0.853320
41,4729,0.601170,146.547503,120.069113,77.746355,1.984938,226.368802,153.824622,448.495199,1.383768,79.821299,33.755509,370.748844,0.861516,3.009710,1.292481,91.809623,2.304005,75.212822,119.014993,4.885057,485.000000,452.000000,0.000000,173.512415,151.429178,224.956145,0.000000,0.697804,0.973831,0.977875,0.846821
42,4887,0.600865,146.712256,118.604891,73.089572,1.969983,249.426721,131.777177,343.482266,1.369118,102.714465,13.172286,270.392694,0.864694,3.005417,1.303521,89.773273,2.278244,82.992385,101.093260,3.826108,526.000000,436.000000,0.000000,164.456791,129.516175,244.887984,0.000000,0.694887,0.976319,0.957769,0.814157
43,4794,0.598394,147.518160,119.435028,74.018956,1.949610,238.267535,139.924167,313.908248,1.351215,90.749375,20.489139,239.889293,0.864193,3.034437,1.295072,87.904935,2.255988,78.521169,108.043555,3.570997,504.000000,478.000000,0.000000,166.251867,137.363828,233.849338,0.000000,0.692431,0.972293,0.970765,0.842034
44,4992,0.600473,149.306902,119.499225,75.661756,1.908865,302.059596,145.424357,591.744815,1.308392,152.752694,25.925132,516.083059,0.862743,3.003401,1.301375,82.510552,2.212554,100.572513,111.746726,7.171747,598.000000,447.000000,0.000000,191.247816,143.719564,301.332873,0.000000,0.696004,0.994252,0.966583,0.916995
45,4829,0.600761,147.481280,118.920744,76.519762,1.986497,238.690721,134.197927,408.032573,1.385736,91.209441,15.277183,331.512811,0.863939,3.040349,1.294090,92.570293,2.299350,78.507670,103.700594,4.407813,525.000000,408.000000,0.000000,163.198327,132.017217,236.582988,0.000000,0.695375,0.970160,0.967318,0.826613
46,4814,0.597545,148.598409,119.512360,74.007633,1.936122,265.212633,142.816166,477.605826,1.338577,116.614223,23.303807,403.598193,0.861545,3.003679,1.295235,86.806028,2.247268,88.295921,110.262769,5.501989,536.000000,455.000000,0.000000,177.723567,141.011038,262.833418,0.000000,0.693574,0.989443,0.971272,0.852563
47,4834,0.600113,147.584132,119.503609,74.905847,1.946964,237.500856,138.448928,329.158474,1.346852,89.916724,18.945319,254.252628,0.865316,3.033310,1.298657,89.937656,2.250003,78.297582,106.609335,3.659852,504.000000,455.000000,0.000000,165.110428,135.840700,233.469689,0.000000,0.693518,0.973090,0.968641,0.832864
48,4937,0.599956,147.862680,118.985465,72.353046,1.956807,202.221787,139.940753,358.660368,1.356851,54.359107,20.955288,286.307323,0.866047,3.047315,1.299737,89.947828,2.259469,66.360649,107.668486,3.987427,528.000000,433.000000,0.000000,156.126769,137.301199,200.148641,0.000000,0.692752,0.970446,0.963640,0.804389
49,4824,0.602721,148.510627,119.720609,76.218384,2.001383,290.300069,152.972506,639.725744,1.398662,141.789442,33.251896,563.507360,0.861233,3.024727,1.290802,86.483756,2.323857,95.975641,118.509615,7.397062,556.000000,448.000000,0.000000,193.118244,151.766919,289.868506,0.000000,0.699835,0.981977,0.976305,0.881303
50,4858,0.598513,146.924055,118.988698,77.635494,1.935298,197.937812,132.838267,377.737737,1.336785,51.013757,13.849569,300.102244,0.867106,3.035467,1.302847,93.226310,2.231904,65.208363,101.960008,4.051836,514.000000,412.000000,1.000000,150.404025,130.503721,196.801696,0.000010,0.690242,0.968049,0.961366,0.832764
51,4975,0.600049,147.715235,118.759404,72.243598,1.957939,217.941835,132.339527,296.941638,1.357890,70.226600,13.580124,224.698040,0.864560,3.038849,1.298675,92.505620,2.264666,71.718539,101.903497,3.209985,518.000000,415.000000,0.000000,154.835427,129.452113,214.258621,0.000000,0.694051,0.972179,0.962596,0.780964
52,4754,0.595391,148.083761,119.021384,70.303887,1.922055,234.289931,137.467895,298.799452,1.326664,86.206171,18.446511,228.495565,0.863744,3.022830,1.295478,90.462562,2.225261,77.506817,106.113650,3.303018,531.000000,424.000000,0.000000,163.374740,134.677065,230.320047,0.000000,0.689314,0.979769,0.967100,0.777160
53,4756,0.599165,146.076308,119.055706,74.832656,1.979524,217.083443,146.948901,387.663979,1.380359,71.007135,27.893194,312.831323,0.862041,3.013602,1.293363,91.139390,2.296322,72.034545,113.617699,4.253528,497.000000,452.000000,0.000000,165.686961,144.439475,215.214294,0.000000,0.695054,0.969447,0.968961,0.821079
54,4898,0.599205,147.375507,119.462456,72.683085,1.992130,227.201697,146.408242,285.850299,1.392925,79.826190,26.945786,213.167215,0.863427,3.036110,1.295161,90.797763,2.307237,74.833158,113.042492,3.148209,520.000000,432.000000,0.000000,166.929570,142.904995,223.370476,0.000000,0.693985,0.970818,0.970921,0.800494
55,4904,0.601233,147.207107,119.207364,73.735672,1.986869,235.364098,149.862640,474.128791,1.385637,88.156991,30.655276,400.393119,0.861339,3.020755,1.293267,90.268839,2.306723,77.915648,115.879111,5.252408,526.000000,431.000000,1.000000,173.425046,147.498331,233.892005,0.000010,0.698021,0.974638,0.970267,0.816845
56,4989,0.602841,148.533914,119.490655,76.060354,1.961243,265.742625,145.374751,596.138176,1.358403,117.208711,25.884096,520.077822,0.864887,3.002031,1.306476,84.494773,2.267629,88.520934,111.272424,7.055326,549.000000,474.000000,0.000000,180.855398,144.203275,264.948353,0.000000,0.697016,0.989556,0.962740,0.900178
57,4847,0.602127,147.802070,119.297396,71.738418,2.008889,236.365696,140.277548,333.325822,1.406762,88.563626,20.980152,261.587405,0.864595,3.038332,1.296236,89.628044,2.323502,77.794569,108.219110,3.718990,544.000000,419.000000,0.000000,166.034004,137.485264,232.942576,0.000000,0.696427,0.972916,0.968776,0.800401
58,4815,0.603559,146.900696,118.912474,75.654476,2.009377,227.628793,149.810515,404.319792,1.405818,80.728098,30.898040,328.665317,0.862742,3.026559,1.293697,89.375252,2.329059,75.210431,115.800328,4.523845,545.000000,419.000000,0.000000,170.690612,147.110706,225.756989,0.000000,0.699582,0.970744,0.967545,0.846481
59,4651,0.601497,148.222972,119.446532,71.944089,2.020614,291.969293,160.313206,370.349726,1.419117,143.746321,40.866674,298.405637,0.860303,2.997675,1.290352,87.499918,2.348722,97.398592,124.239870,4.232572,534.000000,454.000000,0.000000,196.335103,157.374007,286.716295,0.000000,0.699169,0.988920,0.974410,0.822219
60,4781,0.600410,147.601948,120.298249,73.876552,1.959622,205.204516,170.822991,524.164161,1.359212,57.602568,50.524742,450.287609,0.864028,3.049295,1.291840,86.910094,2.268008,67.295720,132.232347,6.031108,526.000000,467.000000,0.000000,179.562037,168.046648,206.774807,0.000000,0.694897,0.968105,0.980228,0.850034
61,4772,0.602209,145.644161,118.838756,74.627814,2.006081,193.793910,133.768828,300.957719,1.403872,48.149749,14.930072,226.329905,0.865697,3.021014,1.300483,92.760143,2.317300,64.148627,102.860846,3.244472,487.000000,443.000000,0.000000,149.383477,131.286058,191.427000,0.000000,0.695635,0.964207,0.961899,0.804525
